,Date,ABBN,CLN,DOKA,GIVN,KUD,LISN,LONN,NESN,SCHN,SCMN,SIKA,SRENH,UBSG,UHR,VLRT,ABBN_30d_MA,CLN_30d_MA,DOKA_30d_MA,GIVN_30d_MA,KUD_30d_MA,LISN_30d_MA,LONN_30d_MA,NESN_30d_MA,SCHN_30d_MA,SCMN_30d_MA,SIKA_30d_MA,SRENH_30d_MA,UBSG_30d_MA,UHR_30d_MA,VLRT_30d_MA,ABBN_Expanding_Avg,CLN_Expanding_Avg,DOKA_Expanding_Avg,GIVN_Expanding_Avg,KUD_Expanding_Avg,LISN_Expanding_Avg,LONN_Expanding_Avg,NESN_Expanding_Avg,SCHN_Expanding_Avg,SCMN_Expanding_Avg,SIKA_Expanding_Avg,SRENH_Expanding_Avg,UBSG_Expanding_Avg,UHR_Expanding_Avg,VLRT_Expanding_Avg,ABBN_Avg,CLN_Avg,DOKA_Avg,GIVN_Avg,KUD_Avg,LISN_Avg,LONN_Avg,NESN_Avg,SCHN_Avg,SCMN_Avg,SIKA_Avg,SRENH_Avg,UBSG_Avg,UHR_Avg,VLRT_Avg
0,2023-12-21,1.0215343602050176e-10,4.062741143511098e-10,5.072721535399924e-08,1.7441119679031902e-08,4.670458616210232e-07,4.785544441441726e-06,1.5783027643247e-09,3.089278159962881e-11,1.983772614992369e-08,1.1020744855504957e-08,6.626447762864742e-10,3.909588709487662e-10,4.1985373035093e-11,4.834172129357012e-10,0.0042618828633211,,,,,,,,,,,,,,,,1.0215343602050176e-10,4.062741143511098e-10,5.072721535399924e-08,1.7441119679031902e-08,4.670458616210232e-07,4.785544441441726e-06,1.5783027643247e-09,3.089278159962881e-11,1.983772614992369e-08,1.1020744855504957e-08,6.626447762864742e-10,3.909588709487662e-10,4.1985373035093e-11,4.834172129357012e-10,0.0042618828633211,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
1,2023-12-22,7.511270636664217e-11,7.127582353540617e-10,6.053583533307252e-08,1.69542006991806e-08,3.049258889267523e-08,2.671529456619584e-06,2.1592025386758963e-09,5.528292218081151e-11,1.1808794679205157e-07,2.870074285109174e-09,1.3031474929450254e-09,1.1081479591041092e-10,7.001189045402033e-11,1.630637895836569e-09,0.0,,,,,,,,,,,,,,,,8.863307119357196e-11,5.595161748525857e-10,5.563152534353588e-08,1.719766018910625e-08,2.487692252568492e-07,3.728536949030655e-06,1.8687526515002982e-09,4.308785189022016e-11,6.896283647098764e-08,6.945409570307065e-09,9.828961346157498e-10,2.508868334295885e-10,5.599863174455666e-11,1.0570275543861352e-09,0.00213094143166055,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
2,2023-12-27,7.792762051383486e-11,3.45113360759554e-10,9.394500104857693e-08,1.5781355123035365e-08,2.240248917549965e-08,9.262422090048582e-06,8.191344780713525e-10,4.434085859737168e-11,1.4769176935332077e-08,4.112300414076087e-08,9.820160968311028e-10,1.7303697506155434e-09,2.346469509681948e-11,7.23027082729325e-10,,,,,,,,,,,,,,,,,8.50645876336596e-11,4.880485701549085e-10,6.84026839118829e-08,1.6725558500415956e-08,1.7331364656306602e-07,5.573165329369964e-06,1.518879927023983e-09,4.3505520792604e-11,5.0898283292435774e-08,1.8337941093791667e-08,9.826027886875342e-10,7.440478058249069e-10,4.515398619531093e-11,9.45694063833865e-10,,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,
3,2023-12-28,6.964726685855473e-11,2.109479474235826e-09,1.2916414608659676e-07,3.4052459352092416e-08,-2.4338121974402062e-09,5.07526390571516e-05,7.636614164773128e-10,2.705035617322687e-11,1.5876046317497083e-08,2.912641110715362e-09,5.445998954304863e-10,3.4391309446432284e-10,9.139643413368936e-11,5.278565835885714e-10,0.0,,,,,,,,,,,,,,,,8.121025743988338e-11,8.934062961751379e-10,8.359304945556136e-08,2.1057283713335072e-08,1.2937678187293946e-07,1.6868033761315373e-05,1.3300752993873154e-09,3.939172963775972e-11,4.2142724048701106e-08,1.4481616098022592e-08,8.731020653732722e-10,6.440141279847608e-10,5.6714598179905536e-11,8.412346937725417e-10,0.0014206276211070335,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
4,2023-12-29,1.4684962798913003e-10,3.5975174451814076e-10,8.798339431281779e-08,1.5690776274305048e-08,2.9713808337511533e-08,2.4048440614316077e-05,6.900932306340805e-10,1.911861238628684e-11,,9.471159378214119e-10,3.6211927807882105e-10,2.84695458859198e-10,3.628549263162215e-11,1.0379766250633491e-09,0.0,,,,,,,,,,,,,,,,9.433813154973271e-11,7.866753858437385e-10,8.447111842701265e-08,1.9983982225529067e-08,1.0944418716585387e-07,1.8304115131915516e-05,1.2020788856366685e-09,3.5337106187465145e-11,,1.1774716065982356e-08,7.70905507914382e-10,5.721503941596482e-10,5.2628777070248865e-11,8.805830800307031e-10,0.001065470715830275,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
5,2024-01-03,5.207382652628032e-11,2.2513274244362668e-10,6.652343405983898e-08,1.251231308270542e-08,7.91755447061974e-08,5.916723464088506e-05,1.143930834177401e-09,3.5427619306911675e-11,,1.7112377302573295e-09,5.423308225677038e-10,1.1916463325159074e-10,2.3921987441990916e-11,3.847417210042355e-10,,,,,,,,,,,,,,,,,8.729408071249066e-11,6.930849452770532e-10,8.147983769915037e-08,1.8738704035058457e-08,1.043994134225778e-07,2.5114635050077104e-05,1.1923875437267906e-09,3.5352191707372895e-11,,1.0097469676694853e-08,7.328097270232689e-10,4.966527673416387e-10,4.784431213220587e-11,7.979428535262919e-10,,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,
6,2024-01-04,1.4941868255565743e-10,3.8455003541249774e-10,9.441560880088273e-08,8.046845450287128e-08,3.190079765157976e-07,1.2385321163649045e-05,2.6731966127187876e-08,2.778677509786992e-11,,2.3659247905455092e-08,8.316564757966762e-10,1.6295411862698187e-10,3.096003308309486e-11,,,,,,,,,,,,,,,,,,9.616902383294304e-11,6.490085295821167e-10,8.332780499939785e-08,2.7557239816174574e-08,1.3505777957875205e-07,2.329616163773024e-05,4.840898769935517e-09,3.427141790601533e-11,,1.2034866566517743e-08,7.469306911337557e-10,4.4898153181097337e-10,4.543227226804715e-11,,,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,,
7,2024-01-05,6.237246047441858e-11,2.3209818595260643e-10,3.8908107150229014e-08,9.759412877443361e-09,1.0948379557140668e-06,1.699475173894491e-05,6.028246447870502e-10,8.20792230872302e-11,,1.516750628857906e-09,4.6211467819619984e-10,3.672040592506991e-10,7.368659548355245e-11,3.271205056311492e-09,,,,,,,,,,,,,,,,,9.194445341312749e-11,5.968947366284279e-10,7.777534276825174e-08,2.5332511448833172e-08,2.550303015956664e-07,2.2508485400382075e-05,4.3111395042919585e-09,4.024739355366719e-11,,1.0720102074310264e-08,7.113286895165612e-10,4.3875934774093913e-10,4.896406266998531e-11,1.151266025352749e-09,,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,
8,2024-01-08,1.497856615934177e-10,2.1144183380365967e-10,5.628583564599576e-08,3.667830243653361e-08,5.18201760434351e-06,8.525498199233484e-06,1.170120626328071e-09,1.3007158468891529e-10,2.3000356499462263e-09,4.923510652833661e-09,9.81203634457187e-10,1.8480425772580368e-10,3.669395744652284e-11,3.684641085064363e-09,,,,,,,,,,,,,,,,,9.837125432204861e-11,5.540666363145648e-10,7.538761975466774e-08,2.6593154891910998e-08,8.024733352343158e-07,2.095482015581001e-05,3.962137406740415e-09,5.0227859235361424e-11,3.417418636895013e-08,1.0076036360812863e-08,7.41314794509964e-10,4.105421155170352e-10,4.7600717645156155e-11,1.4679379078167008e-09,,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,
9,2024-01-09,1.7989286726600564e-10,2.7403216539140006e-10,1.5671758695483305e-07,5.442764412748966e-09,2.351111324110752e-08,2.404168233632779e-05,5.742929684564395e-10,3.038429838101604e-11,2.5242443336630177e-08,6.924023889415785e-10,5.331882056769432e-10,1.1137240025427819e-10,2.549267909300916e-11,1.904469778027106e-09,0.0009835744085793,,,,,,,,,,,,,,,,1.0652341561644433e-10,5.260631892222483e-10,8.352061647468429e-08,2.44781158439948e-08,7.24577113034995e-07,2.1263506373861786e-05,3.623352962912018e-09,4.824350314992688e-11,3.2685562530230136e-08,9.137672963625734e-09,7.205021356266619e-10,3.806251439907595e-10,4.538991378994145e-11,1.5164414489511902e-09,0.00104909145438008,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
