,RIC,Date,Gamma Estimate,CI Lower Bound,CI Upper Bound
0,ABBN.S,2023-12-21,1.0221900371873481e-10,8.310947538051498e-11,1.2132853205695466e-10
1,ABBN.S,2023-12-22,7.514952336820824e-11,-3.0891469247281635e-11,1.8119051598369812e-10
2,ABBN.S,2023-12-27,7.785510134208914e-11,6.21910307183372e-11,9.351917196584108e-11
3,ABBN.S,2023-12-28,6.974447515314025e-11,-5.305701948175437e-11,1.9254596978803487e-10
4,ABBN.S,2023-12-29,1.4684153930073586e-10,1.1129312087860623e-10,1.8238995772286548e-10
5,ABBN.S,2024-01-03,5.163514491882515e-11,3.313426953900298e-11,7.013602029864732e-11
6,ABBN.S,2024-01-04,1.493666223162595e-10,1.2225730207449703e-10,1.7647594255802198e-10
7,ABBN.S,2024-01-05,6.266398848010237e-11,3.9924707525843044e-11,8.54032694343617e-11
8,ABBN.S,2024-01-08,1.4979330463188133e-10,1.1154791223923837e-10,1.880386970245243e-10
9,ABBN.S,2024-01-09,1.7998708417585044e-10,1.4653593456297808e-10,2.134382337887228e-10
10,ABBN.S,2024-01-10,7.305402009075041e-11,2.82842444575455e-11,1.1782379572395534e-10
11,ABBN.S,2024-01-11,1.4474799573378094e-10,9.459715990365907e-11,1.948988315639028e-10
12,ABBN.S,2024-01-12,1.1291148047269948e-10,8.77569901924125e-11,1.3806597075298647e-10
13,ABBN.S,2024-01-15,9.039084335661449e-11,5.7898736655929354e-11,1.2288295005729963e-10
14,ABBN.S,2024-01-16,7.608155013020252e-11,-2.745139417798984e-13,1.5243761420218494e-10
15,ABBN.S,2024-01-17,3.1687402339020784e-11,1.232887660137919e-11,5.104592807666238e-11
16,ABBN.S,2024-01-18,3.3757343565017523e-11,2.390753740621321e-11,4.3607149723821837e-11
17,ABBN.S,2024-01-19,1.5760988701733455e-11,9.333926926489338e-12,2.2188050476977572e-11
18,ABBN.S,2024-01-22,3.010587689665287e-11,1.0055616473251178e-11,5.015613732005457e-11
19,ABBN.S,2024-01-23,6.134471889296836e-11,4.1113327183258364e-11,8.157611060267835e-11
20,ABBN.S,2024-01-24,1.0850341548741093e-10,9.123800892941528e-11,1.2576882204540658e-10
21,ABBN.S,2024-01-25,5.5407764908825744e-11,3.988262154123746e-11,7.093290827641403e-11
22,ABBN.S,2024-01-26,4.191601375368637e-11,3.0402119715948215e-11,5.342990779142453e-11
23,ABBN.S,2024-01-29,2.2737586050095473e-11,9.294901848129473e-12,3.6180270252061474e-11
24,ABBN.S,2024-01-30,4.221952380176527e-11,2.7744709193520278e-11,5.669433841001026e-11
25,ABBN.S,2024-01-31,4.0909683674141015e-11,1.9978200176200586e-11,6.184116717208144e-11
26,ABBN.S,2024-02-01,5.952352670284433e-11,4.04465832658627e-11,7.860047013982596e-11
27,ABBN.S,2024-02-02,4.122689800518448e-11,3.026069145423996e-11,5.2193104556129e-11
28,ABBN.S,2024-02-05,3.152679490624263e-11,1.9465947552955025e-11,4.3587642259530235e-11
29,ABBN.S,2024-02-06,4.068531709544701e-11,4.014603979111973e-13,8.096917379298282e-11
30,ABBN.S,2024-02-07,5.9749428623822e-11,4.036805373624926e-11,7.913080351139474e-11
31,ABBN.S,2024-02-08,1.4392502905923508e-10,1.1321341489735131e-10,1.7463664322111886e-10
32,ABBN.S,2024-02-09,6.649984734701933e-11,2.185929595738718e-11,1.1114039873665147e-10
33,ABBN.S,2024-02-12,3.6810782852390356e-11,6.606809197136149e-12,6.701475650764456e-11
34,ABBN.S,2024-02-13,6.924337065215817e-11,5.214062663077832e-11,8.634611467353803e-11
35,ABBN.S,2024-02-14,5.3479725372973317e-11,3.167398835560216e-11,7.528546239034447e-11
36,ABBN.S,2024-02-15,5.968433265483636e-11,5.050260614043637e-11,6.886605916923634e-11
37,ABBN.S,2024-02-16,6.268446085500141e-11,4.173981163990289e-11,8.362911007009993e-11
38,ABBN.S,2024-02-19,1.1392008176441908e-10,-1.115017794642361e-11,2.3899034147526177e-10
39,ABBN.S,2024-02-20,7.227891712188081e-11,5.081205929283631e-11,9.37457749509253e-11
40,ABBN.S,2024-02-21,3.0878903610153966e-11,1.5124294715774715e-11,4.6633512504533215e-11
41,ABBN.S,2024-02-22,2.3886481290280856e-11,-2.618089902512385e-11,7.395386160568557e-11
42,ABBN.S,2024-02-23,2.948671375025216e-11,9.907581317772022e-12,4.90658461827323e-11
43,ABBN.S,2024-02-26,1.218498726413556e-10,3.884061788263677e-11,2.0485912740007443e-10
44,ABBN.S,2024-02-27,6.114441819635767e-11,1.7326930502912363e-11,1.0496190588980298e-10
45,ABBN.S,2024-02-28,1.8071560059103668e-11,9.24558200061882e-12,2.689753811758852e-11
46,ABBN.S,2024-02-29,2.101920810021193e-11,1.4899741028962938e-11,2.7138675171460922e-11
47,ABBN.S,2024-03-01,2.5408199727169598e-11,1.0800931518546826e-11,4.001546793579237e-11
48,ABBN.S,2024-03-04,1.1608410073904774e-10,8.654661926615373e-11,1.4562158221194175e-10
49,ABBN.S,2024-03-05,5.7810594077344236e-11,2.6925062013008976e-11,8.86961261416795e-11
50,ABBN.S,2024-03-06,2.1067589395965978e-11,1.1339936373005887e-11,3.0795242418926067e-11
51,ABBN.S,2024-03-07,3.4110558110241706e-11,2.617601513202708e-11,4.204510108845633e-11
52,ABBN.S,2024-03-08,8.743256785921612e-11,7.340639015279824e-11,1.01458745565634e-10
53,ABBN.S,2024-03-11,2.260405751986197e-11,1.3227079098273654e-11,3.198103594145029e-11
54,ABBN.S,2024-03-12,2.334485357639484e-11,1.0109728006246822e-11,3.6579979146542864e-11
55,ABBN.S,2024-03-13,2.9499621132423844e-11,1.470974583965384e-11,4.428949642519385e-11
56,ABBN.S,2024-03-14,2.954735070114432e-11,2.313778358752437e-11,3.5956917814764265e-11
57,ABBN.S,2024-03-15,2.781195497844301e-11,1.192413351913168e-11,4.369977643775434e-11
58,ABBN.S,2024-03-18,2.2821175020748434e-11,-4.921998230476564e-11,9.486233234626251e-11
59,CLN.S,2023-12-21,4.0496701720958816e-10,1.166360325641303e-10,6.932980018550461e-10
60,CLN.S,2023-12-22,7.122222218674128e-10,2.939321496655077e-10,1.1305122940693178e-09
61,CLN.S,2023-12-27,3.4501041868214504e-10,1.1547852470804031e-10,5.745423126562497e-10
62,CLN.S,2023-12-28,2.1008442934728895e-09,1.227669355575291e-09,2.9740192313704883e-09
63,CLN.S,2023-12-29,3.8670891140934475e-10,-1.0995778941128768e-10,8.833756122299772e-10
64,CLN.S,2024-01-03,2.219281498238031e-10,-1.7640005116133035e-10,6.202563508089365e-10
65,CLN.S,2024-01-04,3.8351020830428006e-10,1.897011816310442e-10,5.773192349775159e-10
66,CLN.S,2024-01-05,2.3046384980793945e-10,4.970155601021303e-11,4.1122614360566587e-10
67,CLN.S,2024-01-08,2.1146789070517111e-10,2.9434174067209654e-11,3.9350160734313255e-10
68,CLN.S,2024-01-09,2.73658271420217e-10,1.2383751498608005e-10,4.2347902785435397e-10
69,CLN.S,2024-01-10,4.672409444629363e-10,1.864589756148972e-10,7.480229133109755e-10
70,CLN.S,2024-01-11,2.1580420856317694e-10,-1.6064135585037715e-10,5.92249772976731e-10
71,CLN.S,2024-01-12,1.397950274226716e-10,2.529990180398279e-11,2.542901530413604e-10
