,RIC,Date,Gamma Estimate,CI Lower Bound,CI Upper Bound
0,ABBN.S,2024-01-26,4.191601375368637e-11,3.0402119715948215e-11,5.342990779142453e-11
1,ABBN.S,2024-01-29,2.2737586050095473e-11,9.294901848129473e-12,3.6180270252061474e-11
2,ABBN.S,2024-01-30,4.221952380176527e-11,2.7744709193520278e-11,5.669433841001026e-11
3,ABBN.S,2024-01-31,4.0909683674141015e-11,1.9978200176200586e-11,6.184116717208144e-11
4,ABBN.S,2024-02-01,5.952352670284433e-11,4.04465832658627e-11,7.860047013982596e-11
5,ABBN.S,2024-02-02,4.122689800518448e-11,3.026069145423996e-11,5.2193104556129e-11
6,ABBN.S,2024-02-05,3.152679490624263e-11,1.9465947552955025e-11,4.3587642259530235e-11
7,ABBN.S,2024-02-06,4.068531709544701e-11,4.014603979111973e-13,8.096917379298282e-11
8,ABBN.S,2024-02-07,5.9749428623822e-11,4.036805373624926e-11,7.913080351139474e-11
9,ABBN.S,2024-02-08,1.4392502905923508e-10,1.1321341489735131e-10,1.7463664322111886e-10
10,ABBN.S,2024-02-09,6.649984734701933e-11,2.185929595738718e-11,1.1114039873665147e-10
11,ABBN.S,2024-02-12,3.6810782852390356e-11,6.606809197136149e-12,6.701475650764456e-11
12,ABBN.S,2024-02-13,6.924337065215817e-11,5.214062663077832e-11,8.634611467353803e-11
13,ABBN.S,2024-02-14,5.3479725372973317e-11,3.167398835560216e-11,7.528546239034447e-11
14,ABBN.S,2024-02-15,5.968433265483636e-11,5.050260614043637e-11,6.886605916923634e-11
15,ABBN.S,2024-02-16,6.268446085500141e-11,4.173981163990289e-11,8.362911007009993e-11
16,ABBN.S,2024-02-19,1.1392008176441908e-10,-1.115017794642361e-11,2.3899034147526177e-10
17,ABBN.S,2024-02-20,7.227891712188081e-11,5.081205929283631e-11,9.37457749509253e-11
18,ABBN.S,2024-02-21,3.0878903610153966e-11,1.5124294715774715e-11,4.6633512504533215e-11
19,ABBN.S,2024-02-22,2.3886481290280856e-11,-2.618089902512385e-11,7.395386160568557e-11
20,ABBN.S,2024-02-23,2.948671375025216e-11,9.907581317772022e-12,4.90658461827323e-11
21,ABBN.S,2024-02-26,1.218498726413556e-10,3.884061788263677e-11,2.0485912740007443e-10
22,ABBN.S,2024-02-27,6.114441819635767e-11,1.7326930502912363e-11,1.0496190588980298e-10
23,ABBN.S,2024-02-28,1.8071560059103668e-11,9.24558200061882e-12,2.689753811758852e-11
24,ABBN.S,2024-02-29,2.101920810021193e-11,1.4899741028962938e-11,2.7138675171460922e-11
25,ABBN.S,2024-03-01,2.5408199727169598e-11,1.0800931518546826e-11,4.001546793579237e-11
26,ABBN.S,2024-03-04,1.1608410073904774e-10,8.654661926615373e-11,1.4562158221194175e-10
27,ABBN.S,2024-03-05,5.7810594077344236e-11,2.6925062013008976e-11,8.86961261416795e-11
28,ABBN.S,2024-03-06,2.1067589395965978e-11,1.1339936373005887e-11,3.0795242418926067e-11
29,ABBN.S,2024-03-07,3.4110558110241706e-11,2.617601513202708e-11,4.204510108845633e-11
30,ABBN.S,2024-03-08,8.743256785921612e-11,7.340639015279824e-11,1.01458745565634e-10
31,ABBN.S,2024-03-11,2.260405751986197e-11,1.3227079098273654e-11,3.198103594145029e-11
32,ABBN.S,2024-03-12,7.63107335190517e-09,4.251263377830822e-09,1.1010883325979519e-08
33,CLN.S,2024-01-26,3.336258714488847e-10,-4.246001565119953e-11,7.09711758548969e-10
34,CLN.S,2024-01-29,4.5193825051897333e-10,2.209323640487004e-10,6.829441369892463e-10
35,CLN.S,2024-01-30,2.814400427017714e-10,1.5551962629156886e-10,4.0736045911197396e-10
36,CLN.S,2024-01-31,1.025320956395739e-09,-5.929263138705886e-10,2.643568226662067e-09
37,CLN.S,2024-02-01,1.4060980084249892e-10,3.0608726874418674e-11,2.5061087481057915e-10
38,CLN.S,2024-02-02,2.544606218104699e-10,-1.519733949008438e-10,6.608946385217835e-10
39,CLN.S,2024-02-05,2.454166612770705e-10,-8.712997949477463e-12,4.995463205036184e-10
40,CLN.S,2024-02-06,7.549745379833904e-11,4.2687839466825075e-12,1.4672612364999556e-10
41,CLN.S,2024-02-07,4.0106135966692323e-10,-3.7150904911766526e-11,8.39273624245613e-10
42,CLN.S,2024-02-08,1.4849280244431586e-08,5.479857353741128e-09,2.4218703135122045e-08
43,CLN.S,2024-02-09,2.6996892546501236e-09,3.761586358974226e-10,5.023219873402825e-09
44,CLN.S,2024-02-12,9.315190804156425e-10,3.9617101018742045e-10,1.4668671506438644e-09
45,CLN.S,2024-02-13,6.054086542163147e-10,-7.092669250585042e-11,1.2817440009384798e-09
46,CLN.S,2024-02-14,8.988114825371074e-10,5.956812271896127e-10,1.2019417378846022e-09
47,CLN.S,2024-02-15,6.847652252917572e-11,-1.4492130474268807e-11,1.5144517553262024e-10
48,CLN.S,2024-02-16,4.858233167139324e-10,2.3286731511420725e-10,7.387793183136575e-10
49,CLN.S,2024-02-19,3.589952014466333e-10,-5.251429864068879e-10,1.2431333893001544e-09
50,CLN.S,2024-02-20,3.1761445406348456e-10,5.709989425320515e-11,5.78129013873764e-10
51,CLN.S,2024-02-21,1.0596263133986185e-09,1.9181520603152742e-10,1.9274374207657093e-09
52,CLN.S,2024-02-22,3.393257157378906e-10,2.1556743627513134e-11,6.570946878482681e-10
53,CLN.S,2024-02-23,1.5962674493203964e-10,-3.774257282923065e-12,3.2302774714700234e-10
54,CLN.S,2024-02-26,2.700719382231778e-10,1.7251551534130433e-10,3.676283611050513e-10
55,CLN.S,2024-02-27,2.1103215150456032e-10,9.362655679632664e-11,3.28437746212794e-10
56,CLN.S,2024-02-28,2.3061981468980495e-10,-2.3187845050028253e-10,6.931180798798925e-10
57,CLN.S,2024-02-29,4.381818180206461e-10,2.852127399657508e-10,5.911508960755414e-10
58,CLN.S,2024-03-01,1.5216329433209758e-09,1.045047215687509e-09,1.9982186709544426e-09
59,CLN.S,2024-03-04,1.9262890403231208e-10,1.5200475292539016e-10,2.33253055139234e-10
60,CLN.S,2024-03-05,1.7301658829816424e-10,5.740790065751434e-11,2.886252759388141e-10
61,CLN.S,2024-03-06,1.8997830445676834e-10,-2.0847278706232756e-10,5.884293959758643e-10
62,CLN.S,2024-03-07,2.4321372348672557e-10,1.7305863319104884e-10,3.133688137824023e-10
